Archetype,Scientific Name (from Species) 2,Score: Overall Sustainability,Score:  Greenhouse Gas Emissions,Score: Edible Coefficient,Score: Mercury Concentration,Score: Max Number of Individuals (Log),Score: U.S. Retail Sales (Log),Score: U.S. Menu Prevalence,Score: Import Value (Log),Score: Import Volume (Log),Average Score
Mussels,"Mytilus galloprovincialis,Mytilus,Mytilus coruscus,Mytilus edulis,Perna,Perna canaliculus,Perna viridis",0.27,0.00,0.41,,,0.36,,,,0.26
Whiting,Merlangius merlangus,,0.08,,0.043,,0.40,,0.36,0.42,0.26
Cockles,,0.28,,,,,,,0.22,0.26,0.25
Lingcod,Rachycentron,0.78,0.15,,,,,,0.04,0.00,0.24
Cuttlefish,"Sepiidae,Sepia officinalis",,0.04,0.00,,,,,0.45,0.45,0.24
Scorpionfish,,,,,0.231,,,,,,0.23
Sturgeon,Acipenser transmontanus,0.26,0.04,,,0.40,,,0.07,0.04,0.16
Monkfish,,,0.03,,0.157,,,,,,0.09
Angler Fish,,,0.07,,,,,,,,0.07
Blowfin,,,,,,,,,,,NaN
Elephantfish,Gnathonemus petersii,,,,,,,,,,NaN
Minnows and killifish,"Danio rerio,Fundulus heteroclitus,Pimephales promelas,Austrofundulus limnaeus",,,,,,,,,,NaN
Turtle,Pelodiscus sinensis,,,,,,,,,,NaN
Arapaima,,,,,,,,,,,NaN
,,,,,,,,,,,NaN
