Archetype,Scientific Name (from Species) 2,Overall Sustainability Score,GHG Emissions - kg CO2 equivalent per kg,Edible Portion,Mercury Content,Quintile - U.S. Retail Sales (2019),Foodservice menu prominence -2019,Import Value to U.S. (Total 2018-2019),Aquaculture?,Carnivorous?,Current Companies - Plant-Based,Current Companies - Cultivated,Greenhouse Gas Emissions by Paper 2,Archetype (from Greenhouse Gas Emissions by Paper 2),Status,"Mercury Concentration, Mean (PPM)"
Salmon,"Salmo salar,Salmo trutta,Oncorhynchus gorbuscha,Oncorhynchus nerka,Oncorhynchus tshawytscha,Oncorhynchus masou masou,Oncorhynchus kisutch,Oncorhynchus keta",3.8,3.40,62.0,0.018,5,42.8%,"$8,339,027,467.00",,,"Hooked, Legendary Vish, Novish, Sophie's Kitchen, By2048, Ima, Odontella, Prime Roots, Save da Sea",WildType,,,,
Sardine,"Sardinops sagax,Sardina pilchardus",1.96,,63.0,0.013,4,,"$271,100,115.00",,,,,,,,0.013
Scallops,"Pectinidae,Pecten maximus",7.94,,,0.003,4,26.4%,"$452,500,570.00",,,"The Plant Based Seafood Co., Loma Linda",,,,,
Scorpionfish,,3.75,,,0.233,,,,,,,,,,,0.233
Sea Cucumber,,2.89,7.69,66.2,,,,"$1,131,262.00",,,,Avant,,,,
Sea Urchin,Paracentrotus lividus,3.23,101.24,,,,,"$1,084,356.00",,,,,,,,
Seabream,"Sparus aurata,Boops boops,Pagrus major,Dentex dentex",3.57,8.45,54.0,,,,"$21,429,849.00",,,,,,,,
Sturgeon,Acipenser transmontanus,5.81,,13.0,,,,"$37,060.00",,,,"Art Meat, Avant",,,,
Shark,"Squalus acanthias,Triakis scyllium,Scyliorhinus canicula,Prionace glauca,Scoliodon laticaudus",1.9,,,0.979,,,"$568,806.00",,,,,,,,0.979
Shrimp/Prawn,"Penaeus monodon,Macrobrachium,Macrobrachium rosenbergii,Macrobrachium malcolmsonii,Crangon crangon,Pandalus hypsinotus,Pandalus borealis,Pandalus,Penaeidae,Metapenaeus endeavouri,Metapenaeus macleayi,Metapenaeus monoceros,Penaeus esculentus,Penaeus latisulcatus,Penaeus merguiensis,Penaeus merguiensis,Penaeus semisulcatus,Litopenaeus vannamei,Sergestidae,Palaemonidae,Mesopodopsis orientalis,Acetes indicus,Acetes,Pleoticus muelleri,Parapenaeus longirostris,Melicertus plebejus,Haliporoides sibogae,Parapenaeus australiensis,Plesionika martia,Litopenaeus stylirostris,Penaeus chinensis,Marsupenaeus japonicus,Penaeus penicillatus,Farfantepenaeus californiensis",3.18,,,0.009,5,72.8%,"$12,244,643,015.00",,,"New Wave, The Plant-Based Seafood Co., Sophie's Kitchen, Prime Roots*, Vegan Zeastar",Shiok Meats,,,,
Skates/Rays,Hemitrygon akajei,2.81,,,0.137,,,,,,,,,,,
Smelts,"Atherina boyeri,Plecoglossus altivelis,Glossanodon semifasciatus,Hypomesus nipponensis",2.95,0.66,60.0,0.081,,,"$14,734,124.00",,,,,,,,
Snapper,"Ocyurus chrysurus,Lutjanus,Lutjanus argentimaculatus,Rhomboplites aurorubens",2.69,,,0.166,2,6.3%,"$276,076,350.00",,,,BlueNalu,,,,0.166
Sole,"Solea senegalensis,Eopsetta jordani,Solea solea",,,49.0,,,,,,,,,,,,
Sunfish/ Opah,,1.89,,,,,,,,,,,,,,
Squid,"Loligo vulgaris,Loligo,Ommastrephidae,Uroteuthis duvaucelii",2.13,,,0.024,2,33.7%,"$704,300,520.00",,,,,,,,0.024
Tilapia,"Oreochromis niloticus,Oreochromis aureus",5.1,5.21,37.0,0.013,5,10.0%,"$1,278,178,236.00",,,,,,,,0.013
Tilefish,,3.09,,,0.6335,,,,,,,,,,,
Toothfish,,2.05,,,0.354,,,"$419,022,149.00",,,,,,,,
Triggerfish,,2,,,,,,,,,,,,,,
Trout,"Oncorhynchus mykiss,Salmo trutta",3.86,5.32,78.0,0.235,3,,"$334,286,935.00",,,,,,,,
Tuna (Total),,,,40.0,0.389,5,37.9%,"$3,649,658,118.00",,,Mimic Seafood,,,,,
Tuna (Albacore/Skipjack),"Thunnus alalunga,Katsuwonus pelamis,Euthynnus alletteratus",2.85,,60.0,0.2445,5,7.0%,,,,"Atlantic Natural Foods, Good Catch, Hooked, Nestle, Sophie's Kitchen, Betterfish, Tofuna Fysh, Loma Linda",,,,,
Tuna (Blue fin/Big Eye/ Yellowfin),"Thunnus maccoyii,Thunnus albacares,Thunnus obesus,Thunnus thynnus,Thunnus orientalis",2.3,5.73,58.0,0.5215,4,9.8%,,,,"Kuleana, Ocean Hugger, Prime Roots, Vegan Zeastar","Finless Foods (Bluefin), BlueNalu",,,,
Turtle,Pelodiscus sinensis,,,,,,,,,,,,,,,
Whitefish (freshwater),Coregonus clupeaformis,,3.63,,0.089,,8.2%,"$30,653,824.00",,,"Sophie's Kitchen, Good Catch, Gardein, Quorn, Novish",,,,,
Whiting,Merlangius merlangus,,,55.3,0.051,3,,,,,,,,,,0.051
Anchovies,,,,,,,,,,,,,,,,0.016
"Bass (Saltwater, Black, Striped, Rockfish)",,,,,,,,,,,,,,,,0.167
Bass Chilean,,,,,,,,,,,,,,,,0.354
Buffalofish,,,,,,,,,,,,,,,,0.137
Crawfish,,,,,,,,,,,,,,,,0.033
